type	latitude	longitude	altitude (ft)	name	desc	url
T	40.702820000	-77.775920000	1238.3			
T	40.702990000	-77.775300000	1229.9			
T	40.703240002	-77.774610003	1220.6			
T	40.703490000	-77.773920000	1213.5			
T	40.703810000	-77.773420000	1203.6			
T	40.704070000	-77.773100000	1198.8			
T	40.704240000	-77.772750000	1191.0			
T	40.704320000	-77.772390000	1184.4			
T	40.704350000	-77.772040000	1179.8			
T	40.704295002	-77.771339999	1175.3			
T	40.704240000	-77.770640000	1172.1			
T	40.704240000	-77.769970000	1171.4			
T	40.704310000	-77.769210000	1169.8			
T	40.704470000	-77.768230000	1179.0			
T	40.704670000	-77.767640000	1182.7			
T	40.705010004	-77.766700005	1173.3			
T	40.705350000	-77.765760000	1164.4			
T	40.705535001	-77.765200001	1170.3			
T	40.705720000	-77.764640000	1181.7			
T	40.705980000	-77.763960000	1179.4			
T	40.706160000	-77.763610000	1180.4			
T	40.706510000	-77.762990000	1190.4			
T	40.706970000	-77.762410000	1198.7			
T	40.707270000	-77.761960000	1196.7			
T	40.707700000	-77.761420000	1188.6			
T	40.707770000	-77.761240000	1187.1			
T	40.707800000	-77.761110000	1186.7			
T	40.707780000	-77.760930000	1185.5			
T	40.707750000	-77.760790000	1184.1			
T	40.707620000	-77.760440000	1183.3			
T	40.707530000	-77.760080000	1183.3			
T	40.707500000	-77.759050000	1172.0			
T	40.707020000	-77.759090000	1170.0			
T	40.706570000	-77.759220000	1173.3			
T	40.706330000	-77.759320000	1176.3			
T	40.706210000	-77.759410000	1176.9			
T	40.705950000	-77.759670000	1174.0			
T	40.705480000	-77.760020000	1164.5			
T	40.704900000	-77.760260000	1152.4			
T	40.704590000	-77.760350000	1153.9			
T	40.704340000	-77.760390000	1154.5			
T	40.703830000	-77.760570000	1154.0			
T	40.703460000	-77.760780000	1153.5			
T	40.702820000	-77.761150000	1154.6			
T	40.702270000	-77.761610000	1154.5			
T	40.702040000	-77.761910000	1151.6			
T	40.701700002	-77.762580003	1139.9			
T	40.701360000	-77.763250000	1126.2			
T	40.700940002	-77.763950005	1114.8			
T	40.700520000	-77.764650000	1103.5			
T	40.700010000	-77.765450000	1089.6			
T	40.699640000	-77.765980000	1092.7			
T	40.699330001	-77.766450002	1092.0			
T	40.699020000	-77.766920000	1085.0			
T	40.699020000	-77.766930000	1084.5			
T	40.698710000	-77.767410000	1076.5			
T	40.698450000	-77.767730000	1072.2			
T	40.698090000	-77.768270000	1067.1			
T	40.697590000	-77.769120000	1049.8			
T	40.697480000	-77.769250000	1046.0			
T	40.697360000	-77.769340000	1036.0			
T	40.697270000	-77.769390000	1036.0			
